#: table_doi: 10.17182/hepdata.91059.v1/t10
#: name: Cross-section limits for a qq, spin 1 dijet resonance
#: description: The observed 95% CL upper limits on the product of the cross section, branching fraction, and acceptance for spin-1 resonances produced and decaying in the quark-quark channel, shown for various values of intrinsic width as a function of resonance mass.
#: data_file: cross-section_limits_for_a_qq,_spin_1_dijet_resonance.yaml
#: keyword observables: DSIG/DM
#: keyword cmenergies: 13000
#: keyword reactions: P P --> JET JET X
Resonance mass [GeV],"95% CL upper limits, 1% intrinsic width [pb]"
3300.0,0.098924
3400.0,0.091536
3500.0,0.094057
3600.0,0.094318
3700.0,0.094365
3800.0,0.09796
3900.0,0.091804
4000.0,0.08073
4100.0,0.072699
4200.0,0.06937
4300.0,0.072625
4400.0,0.071324
4500.0,0.076984
4600.0,0.08478
4700.0,0.089421
4800.0,0.095653
4900.0,0.10115
5000.0,0.10468
5100.0,0.10978
5200.0,0.089868
5300.0,0.092112
5400.0,0.096135
5500.0,0.095612
5600.0,0.10024
5700.0,0.10541
5800.0,0.10281
5900.0,0.11567
6000.0,0.12587
6100.0,-
6200.0,-
6300.0,-
6400.0,-
6500.0,-
6600.0,-
6700.0,-
6800.0,-
6900.0,-
7000.0,-
7100.0,-
7200.0,-
7300.0,-
7400.0,-
7500.0,-
7600.0,-
7700.0,-
7800.0,-
7900.0,-
8000.0,-
8100.0,-
8200.0,-
8300.0,-
8400.0,-
8500.0,-
8600.0,-
8700.0,-

Resonance mass [GeV],"95% CL upper limits, 55% intrinsic width [pb]"
1800.0,-
1900.0,-
2000.0,-
2100.0,0.51291
2200.0,0.39896
2300.0,0.33358
2400.0,0.37635
2500.0,0.35727
2600.0,0.42154
2700.0,0.51064
2800.0,0.48018
2900.0,0.41467
3000.0,0.19977
3100.0,0.20107
3200.0,0.21561
3300.0,0.21341
3400.0,0.20851
3500.0,0.19437
3600.0,0.18458
3700.0,0.17705
3800.0,0.17417
3900.0,0.17366
4000.0,0.17405
4100.0,0.16716
4200.0,0.16767
4300.0,0.17062
4400.0,0.17446
4500.0,0.16942
4600.0,0.18629
4700.0,0.20221
4800.0,0.21217
4900.0,0.21717
5000.0,0.21258
5100.0,0.2102
5200.0,0.20059
5300.0,0.20468
5400.0,0.21014
5500.0,0.20494
5600.0,0.21656
5700.0,0.22721
5800.0,0.22901
5900.0,0.2175
6000.0,0.20765
6100.0,-
6200.0,-
6300.0,-
6400.0,-
6500.0,-
6600.0,-
6700.0,-
6800.0,-
6900.0,-
7000.0,-
7100.0,-
7200.0,-
7300.0,-
7400.0,-
7500.0,-
7600.0,-
7700.0,-
7800.0,-
7900.0,-
8000.0,-
8100.0,-
8200.0,-
8300.0,-
8400.0,-
8500.0,-
8600.0,-
8700.0,-

